Coin name,Percentage change
Hifi Finance,+10.46%
Unibot,+9.97%
Akropolis,+6.35%
Nest Protocol,+6.72%
Groestlcoin,+6.40%
BlockBank,+6.15%
Symbol,+6.45%
Dusk Network,+3.36%
Metal,+3.31%
Merit Circle,+2.63%
NvirWorld,+2.22%
Automata Network,+2.45%
Wing Finance,+2.21%
Helium,+2.21%
SafePal,+1.96%
Cronos,+1.88%
TrueFi,+1.65%
Swop.fi,+1.64%
Voyager Token,+1.69%
Render Token,+1.66%
IoTeX,+1.76%
Midnight,+1.51%
Numeraire,+1.41%
SPACE ID,+1.54%
Ambrosus,+1.38%
My Neighbor Alice,+1.55%
Gods Unchained,+1.74%
Kadena,+1.44%
Bella Protocol,+1.41%
Bluzelle,+1.31%
Polkastarter,+1.43%
Solana,+1.44%
Santos FC Fan Token,+1.26%
aelf,+1.47%
Prosper,+1.38%
Pendle,+1.28%
FIO Protocol,+1.22%
BarnBridge,+1.24%
1inch Token,+1.27%
Arkham,+1.23%
Unifi Protocol DAO,+1.26%
Audius,+1.25%
JOE,+1.26%
Atletico Madrid Fan Token,+1.25%
Gitcoin,+1.12%
Open Campus,+1.20%
Verge,+1.03%
Reef Finance,+1.33%
Ren,+1.11%
SOLVE,+1.12%
