Coin name,Percentage change
Nest Protocol,+14.83%
AGI Token,+11.12%
Sperax,+3.03%
Flamingo,+2.80%
Dawn Protocol,+2.39%
Unibot,+2.32%
DREP,+2.20%
Refereum,+1.90%
Fei Protocol,+1.66%
BeNFT AI,+1.43%
FTX Token,+1.27%
Crust Network,+1.19%
Machine Xchange Coin,+1.15%
Crypton,+1.13%
TENET,+1.05%
Ooki Protocol,+0.97%
e-RADIX,+0.97%
Akropolis,+0.96%
Bitget Token,+0.89%
Polkastarter,+0.81%
StreamCoin,+0.77%
Dvision Network,+0.68%
Wing Finance,+0.68%
Tokenlon,+0.67%
Verge,+0.67%
Rally,+0.64%
Crypto One Stop Solution,+0.64%
Bonfida,+0.63%
Unifi Protocol DAO,+0.63%
OpenANX,+0.60%
vEmpire DDAO,+0.57%
Flux,+0.56%
DEAPCoin,+0.55%
Energy Web Token,+0.52%
Firo,+0.49%
SingularityDAO,+0.48%
XEN Crypto,+0.47%
Creditcoin,+0.45%
BakeryToken,+0.44%
LBR,+0.44%
Echelon Prime,+0.41%
Lovely Inu,+0.40%
Bitgert,+0.38%
SwftCoin,+0.37%
Turbo,+0.35%
Bone ShibaSwap,+0.34%
Burger Swap,+0.31%
Everipedia,+0.31%
VIDT DAO,+0.31%
Ispolink,+0.30%
