Coin name,Category,Indicator
OpenANX,Onchain,Transaction Volume
OpenANX,Offchain,Social Media Sentiment
OpenANX,Onchain,Wallet Growth
OpenANX,Offchain,News and Media Coverage
OpenANX,Onchain,Token Velocity
OpenANX,Offchain,Regulatory Developments
OpenANX,Onchain,Exchange Inflow/Outflow
OpenANX,Offchain,Market Capitalization
OpenANX,Onchain,Network Hashrate
OpenANX,Offchain,Trading Volume
TOMI,Onchain,Transaction Volume
TOMI,Offchain,Social Media Sentiment
TOMI,Onchain,Wallet Growth
TOMI,Offchain,News and Media Coverage
TOMI,Onchain,Token Velocity
TOMI,Offchain,Developer Activity
TOMI,Onchain,Exchange Inflow/Outflow
TOMI,Offchain,Partnerships and Integrations
TOMI,Onchain,Smart Contract Activity
TOMI,Offchain,Market Capitalization and Trading Volume
DREP,Onchain,Trading Volume
DREP,Offchain,Social Media Sentiment
DREP,Onchain,Market Depth
DREP,Offchain,News and Media Coverage
DREP,Onchain,Token Circulation
DREP,Offchain,Exchange Listings
DREP,Onchain,Token Velocity
DREP,Offchain,Developer Activity
DREP,Onchain,Network Hashrate
DREP,Offchain,Market Correlations
Mirror Finance,Onchain,Trading Volume
Mirror Finance,Offchain,Social Media Sentiment
Mirror Finance,Onchain,Token Velocity
Mirror Finance,Offchain,News and Announcements
Mirror Finance,Onchain,Token Age Consumed
Mirror Finance,Offchain,Market Correlations
Mirror Finance,Onchain,Exchange Inflow/Outflow
Mirror Finance,Offchain,Trading Patterns
Mirror Finance,Onchain,Whale Transactions
Mirror Finance,Offchain,Market Depth
REI Network,Onchain,Transaction volume
REI Network,Offchain,Market sentiment
REI Network,Onchain,Wallet growth
REI Network,Offchain,Regulatory developments
REI Network,Onchain,Token circulation
REI Network,Offchain,Partnerships and collaborations
REI Network,Onchain,Network hash rate
REI Network,Offchain,Trading volume on exchanges
REI Network,Onchain,Smart contract activity
REI Network,Offchain,Technical analysis
Wrapped Ether,Onchain,Exchange Inflow/Outflow
Wrapped Ether,Offchain,Trading Volume
Wrapped Ether,Onchain,Token Velocity
Wrapped Ether,Offchain,Market Sentiment
Wrapped Ether,Onchain,Whale Transactions
Wrapped Ether,Offchain,Market Capitalization
Wrapped Ether,Onchain,Network Fees
Wrapped Ether,Offchain,Correlation with Ethereum
