Coin name,Percentage change,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06
Hifi Finance,+10.46%,49,0,0,31,0,0,0,0,0,0,0,0,0,65,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,54,0,52,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,15,0,0,0,0,0,0,0,0,18,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,14,0,0,0,22,0,0,39,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,37,0,0,16,0,13,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,52,0,22,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,18,43,0,0,0,0,0,0,0,0,0,18,0,0,17,0,56,25,37,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,46,0,28,0,18,0,0,0,0,55,0,0
Unibot,+9.97%,88,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,15,0,0,0,25,0,0,28,0,0,16,0,18,0,0,14,44,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,21,0,33,0,0,44,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,0,0,0,0,0,0,17,0,0,0,0,22,0,0,0,23,27,0,0,23,22,0,19,13,0,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,36,0,0,0,0,20,0,0,0,0,37,0,21,0,0,0,0,0,24,0,0,14,0,0,0,0,0,0,16,0,0,0,0,0,0,15,0,23,0,18,0,0,0,0,0,0,0,19,0,0,0,19,18,0,0,0,0,0,41,0,0,18,0,14,0,93,27,28,39,42,23,40,46,18,0,17,66,0,35,17,17,0,60,0,0,15,18,0,18,62,0,0,0,88,39,24,0,21,33,20,0,0,0,0,0,0,0,25,55,21,0
Akropolis,+6.35%,0,0,0,0,0,0,0,0,21,31,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0,25,27,0,0,24,0,0,0,0,19,0,0,0,0,21,0,0,0,0,0,0,24,0,18,26,0,0,0,0,27,0,73,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,31,13,0,44,33,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,26,0,0,0,0,36,21,0,0,17,0,34,0,0,0,0,0,0,0,12,0,0,0,0,34,13,0,0,0,27,0,0,0,0,0,0,0,19,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,16,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,38,0,0,0,0,0,0,0,22,0,42,41,21,33,18,34,40,0,0,23
Nest Protocol,+6.72%,0,0,0,32,0,0,0,42,0,0,0,0,0,0,27,0,17,0,0,32,24,0,0,22,0,0,0,0,0,0,21,20,0,0,0,30,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,45,0,29,39,0,0,31,0,0,50,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,22,0,0,18,0,55,0,0,0,0,25,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,18,0,0,19,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,39,0,0,0,0,0,27,0,0,0,0,32,15,17,0,0,16,28,37,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,17,0,25,16,0,26,35,0,14,19,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,40,0,0,51,66,0,0,0,0,21,0,0,0,19,0
Groestlcoin,+6.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,0,17,52,0,0,0,0,0,0,0,0,0,0,0,55,29,0,20,0,0,0,0,38,0,0,0,25,0,0,0,0,27,0,0,0,0,0,0,18,0,16,0,18,31,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,49,0,16,14,0,0,0,0,0,0,0,19,20,0,0,0,20,0,0,0,0,37,0,0,0,27,0,0,0,37,0,0,0,0,0,0,0,37,0,0,23,15,0,0,0,0,0,0,0,21,18,0,0,0,0,0,0,14,0,0,0,0,0,0,0,27,0,21,0,0,0,36,0,17,0,22,0,0,0,0,17,33,0,0,0,0,21,0,0,0,0,20,0,0,43,38,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
BlockBank,+6.15%,0,0,23,0,0,0,0,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,20,0,15,0,22,0,0,0,0,0,0,0,0,13,0,0,17,0,0,0,14,0,39,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,0,0,0,15,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,59,15,0,0,0,48,0,19,0,16,0,0,0,0,0,0,0,15,0,0,0,0,0,0,26,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,22,26,30,16,0,27,0,0,0,0,0,0,0,0,0,30,0,16,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,42,0,0,0,39,0,0,0,20,0,0,0,0,0,0,14,0,0,15,0,15,36,17,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,22,0,0,35,36,13,0,12,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Symbol,+6.45%,27,0,14,24,44,0,0,0,0,0,0,0,16,0,0,0,45,24,53,12,36,41,32,0,0,0,0,0,12,0,0,0,56,0,38,0,24,18,11,15,0,17,0,0,32,35,0,18,30,17,0,40,0,14,0,0,67,0,0,11,22,31,0,17,0,17,18,0,20,0,24,0,18,23,0,15,15,34,73,33,29,28,19,0,22,37,0,30,15,22,0,0,0,12,16,0,0,0,0,23,0,14,0,21,23,0,16,13,13,24,0,0,49,23,23,0,19,0,0,0,0,15,23,11,0,0,0,24,25,13,34,24,0,0,26,11,0,16,0,14,0,48,0,20,0,0,0,17,0,0,27,0,16,0,13,28,18,0,17,0,26,0,0,0,0,11,20,17,0,33,0,33,0,0,0,17,0,0,0,0,15,0,0,21,0,14,13,0,0,0,0,13,15,15,26,0,0,0,0,0,0,0,0,0,27,21,41,22,39,30,100,0,0,21,0,0,0,0,33,0,22,0,22,0,0,0,15,0,0,72,28,0,43,27,19,22,0,0,0,15,23,14,0,0,0,0,39,0,0
Dusk Network,+3.36%,0,0,0,0,0,0,27,0,26,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,16,13,0,21,13,18,23,12,0,0,0,14,0,0,0,18,0,0,0,0,0,0,0,0,14,20,0,0,0,47,0,13,0,0,0,0,12,0,0,22,0,0,0,0,0,14,0,0,0,0,0,17,13,0,0,0,0,16,0,0,14,0,24,0,0,0,0,0,29,0,0,0,0,0,0,12,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,17,0,17,0,0,0,15,0,0,20,15,0,0,11,12,0,33,0,0,0,0,16,0,0,0,0,0,0,16,0,24,0,0,0,67,0,0,19,0,0,0,0,38,0,28,0,0,0,22,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,24,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal,+3.31%,53,40,0,15,20,0,20,33,44,0,17,0,12,0,0,95,0,0,19,0,20,24,47,0,0,0,18,24,0,25,12,0,17,0,0,0,0,0,14,0,43,0,17,24,0,22,16,18,16,0,0,0,16,0,18,0,15,47,0,38,0,18,0,13,0,0,64,24,0,14,0,0,0,0,0,0,0,0,0,34,0,19,0,0,21,41,0,0,0,30,0,0,0,0,27,0,39,31,0,21,14,38,0,0,56,0,0,0,0,33,0,61,0,0,0,17,0,0,0,0,0,0,0,30,27,22,14,0,25,18,0,16,0,0,0,21,0,26,25,16,12,20,16,0,0,0,0,0,23,13,0,0,0,18,0,17,24,13,32,28,0,12,28,26,0,0,22,0,0,0,11,0,29,62,18,0,0,19,17,0,0,0,0,0,0,20,12,0,0,0,26,0,22,28,26,15,38,0,26,0,29,0,26,26,0,0,0,16,0,0,0,26,15,0,19,0,0,28,0,0,43,0,40,0,0,0,0,54,0,28,0,0,0,21,0,52,0,0,0,0,17,18,0,0,0,40,13,0,0
Merit Circle,+2.63%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,38,0,0,0,28,0,0,0,0,0,0,0,18,14,0,0,14,0,0,0,0,0,19,0,0,0,17,15,0,0,0,0,17,0,22,0,53,0,0,17,0,0,0,16,23,0,0,13,0,26,0,0,0,0,0,0,0,15,31,0,15,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,49,0,0,0,0,44,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,23,31,0,0,0,0,21,0,54,0,0,31,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,14,15,0,36,0,0,14,0,23,21,0,15,0,0,0,0,0,0,0,0,0,0,0,73,16,0,61,0,0,0,0,0,0,0,0,0,0,0,66,24,0,0,0,23,25,22,0,0,31,0,21,18,0,20,26,23,0,0,0,41,0,17,0,0,0,0,0,0,0,0,0,15,0,0,0,0
