,total,Rank
BlockBank,0.12421535641736745,1.0
OpenANX,0.1165,2.0
Dvision Network,0.08139677531796854,3.0
Unibot,0.06650455410719786,4.0
Flamingo,0.06296382655484456,5.0
Tellor,0.05851853157675831,6.0
Bluzelle,0.05466629664032608,7.0
Zebec Protocol,0.05024477759018331,8.0
TOMI,0.04722285209412123,9.0
DOSE,0.04385956131660671,10.0
REVV,0.042820433778314876,11.0
Lovely Inu,0.0363973266127443,12.0
Wrapped Ether,0.034300000000000004,13.0
Mirror Finance,0.032799999999999996,14.0
Mantra DAO,0.031924806173814047,15.0
Echelon Prime,0.029899330933060943,16.0
Ethernity Chain,0.027598615271437026,17.0
Propy,0.026141380613306696,18.0
Voyager Token,0.02604942920705362,19.0
SelfKey,0.02459788223597051,20.0
Choise.com,0.0226,21.0
FTX Token,0.01922253929494571,22.0
Force Protocol,0.0171,23.0
StreamCoin,0.0163,24.0
League of Kingdoms Arena,0.016200000000000003,25.0
TrueFi,0.01586763905937614,26.0
Simple Ledger Protocol,0.015,27.0
Uquid Coin,0.015,28.0
TerraClassicUSD,0.0144,29.0
WHALE,0.011845746619696227,30.0
JOE,0.011000491705105864,31.0
Troy,0.009239013818813644,32.0
UMA,0.005038095877690479,33.0
VITE,0.004446522183214346,34.0
VIDT DAO,0.0006765404343273759,35.0
Holo,-0.0006188256897835913,36.0
Telos,-0.0013773458320816417,37.0
Loopring,-0.0021236604161490695,38.0
Pundi X,-0.0025442614011257064,39.0
Nano,-0.003472790066705665,40.0
DREP,-0.021587441272602547,41.0
XinFin Network,-0.02418995234495029,42.0
Ellipsis,-0.026120099748282003,43.0
COTI,-0.036955469360250896,44.0
SOLVE,-0.03742139752412365,45.0
Helium,-0.08021023079391824,46.0
Opulous,-0.10231891113629436,47.0
Throne,-0.1029568231775463,48.0
Terra Classic,-0.10498510930918,49.0
FLOKI,-0.3365580968845034,50.0
