Coin name,Percentage change,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01,2023-02-02,2023-02-03,2023-02-04,2023-02-05,2023-02-06,2023-02-07,2023-02-08,2023-02-09,2023-02-10,2023-02-11,2023-02-12,2023-02-13,2023-02-14,2023-02-15,2023-02-16,2023-02-17,2023-02-18,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-23,2023-02-24,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,2023-04-01,2023-04-02,2023-04-03,2023-04-04,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25,2023-04-26,2023-04-27,2023-04-28,2023-04-29,2023-04-30,2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,2023-06-01,2023-06-02,2023-06-03,2023-06-04,2023-06-05,2023-06-06,2023-06-07,2023-06-08,2023-06-09,2023-06-10,2023-06-11,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-17,2023-06-18,2023-06-19,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-24,2023-06-25,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-01,2023-07-02,2023-07-03,2023-07-04,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-15,2023-07-16,2023-07-17,2023-07-18,2023-07-19,2023-07-20,2023-07-21,2023-07-22,2023-07-23,2023-07-24,2023-07-25,2023-07-26,2023-07-27,2023-07-28,2023-07-29,2023-07-30,2023-07-31,2023-08-01,2023-08-02,2023-08-03,2023-08-04,2023-08-05,2023-08-06,2023-08-07,2023-08-08,2023-08-09,2023-08-10,2023-08-11,2023-08-12,2023-08-13,2023-08-14,2023-08-15,2023-08-16,2023-08-17,2023-08-18,2023-08-19,2023-08-20,2023-08-21,2023-08-22,2023-08-23,2023-08-24,2023-08-25,2023-08-26,2023-08-27,2023-08-28,2023-08-29,2023-08-30,2023-08-31,2023-09-01,2023-09-02,2023-09-03,2023-09-04,2023-09-05,2023-09-06
OpenANX,+11.65%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlockBank,+10.70%,0,0,26,0,0,0,0,19,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,0,17,0,25,0,0,0,0,0,0,0,0,15,0,0,19,0,0,0,15,0,44,0,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,67,17,0,0,0,54,0,22,0,19,0,0,0,0,0,0,0,17,0,0,0,0,0,0,29,0,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,24,29,34,18,0,31,0,0,0,0,0,0,0,0,0,34,0,18,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,47,0,0,0,44,0,0,0,23,0,0,0,0,0,0,16,0,0,17,0,16,41,19,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,25,0,0,40,41,15,0,13,0,0,0,0,25,0,0,0,0,0,0,0,0,0
Dvision Network,+7.24%,0,0,0,34,0,0,0,0,0,0,14,0,0,0,0,0,0,13,23,0,0,0,0,24,32,38,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,26,0,0,0,0,15,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,28,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,22,0,15,0,0,0,0,0,0,16,0,0,0,0,19,55,26,0,0,0,0,54,0,0,0,0,0,16,0,33,13,13,0,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,23,0,0,0,31,0,0,0,24,0,0,0,0,0,0,0,22,0,19,0,0,15,0,31,0,0,0,0,0,0,35,0,0,0,28,0,22,18,0,19,0,0,0,0
TOMI,+6.05%,19,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,64,0,0,0,27,0,0,0,15,0,14,0,0,0,0,45,0,45,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,18,0,0,0,0,39,17,0,0,26,15,0,0,0,0,0,43,0,0,36,29,0,0,0,0,0,0,0,0,0,49,0,0,21,0,0,0,31,14,0,0,17,0,0,49,0,0,0,0,0,0,0,0,26,0,0,0,22,0,0,13,0,23,0,16,0,0,0,0,31,0,0,0,13,0,0,63,0,0,100,0,0,0,0,23,0,0,0,0,47,49,0,0,0,0,0,0,0,0,0,0,0,22,0,13,0,0,19,0,14,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,34,0,0,0,0,0,20,0,0,0,0,0,0,31,0,21,0,46,0,0,0,0,20,0,0,0,37,0,17,0
Tellor,+4.89%,0,0,0,0,0,0,0,15,0,0,0,18,13,40,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,13,36,0,0,0,0,0,23,0,0,20,0,29,0,21,0,0,46,0,0,0,0,0,15,0,0,38,0,0,23,0,0,0,0,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,33,0,0,0,0,20,0,84,19,0,0,15,0,31,0,0,21,0,0,0,0,0,0,50,19,0,39,29,0,0,0,0,0,0,15,0,0,0,0,0,0,17,0,0,0,0,22,0,0,0,0,0,0,0,0,0,20,0,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,0,33,0,14,0,0,0,16,0,0,0,20,0,0,0,0,17,0,0,0,27,0,24,45,0,17,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,31,0,0,0,0,0,18,0,0,0,0
Wrapped Ether,+3.43%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirror Finance,+3.28%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovely Inu,+2.74%,0,0,33,22,0,18,0,0,0,23,15,0,0,0,17,0,16,0,0,0,16,0,0,15,0,0,0,0,25,0,0,0,0,29,0,0,0,0,0,0,0,0,30,0,0,0,0,42,0,0,0,0,0,0,16,0,0,17,32,0,0,0,0,20,0,0,0,0,0,0,0,0,0,13,0,27,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,37,79,25,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,67,0,0,0,0,0,0,0,44,57,0,0,0,0,0,14,16,0,0,29,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,32,0,23,0,0,23,25,0,0,0,0,0,0,0,18,0,0,0,0,64,25,0,16,35,16,22,0,0,0,0,0,0,0,0,25,0,16,0,0,0,0,22,0,27,0,0,0,0,0,0,0,0,0,0,38,25,0,0,0,24,0,0,15,0,0,0,0
Flamingo,+2.64%,0,0,0,14,0,0,0,0,25,0,0,0,0,23,0,0,0,0,38,0,0,16,0,0,21,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,17,0,0,16,14,0,0,0,0,0,0,0,0,43,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,20,0,0,0,0,21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,39,0,0,0,13,15,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,84,0,0,0,0,0,20,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,23,18,0,0,0,27,0,0,0,55,23,0,0,36,47,17,54,0,0,0,0,0,0,0,0,0,14,31,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,29,0,0,13,29,17
REVV,+2.58%,0,0,0,17,16,0,34,30,0,35,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,29,0,0,100,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,49,0,0,15,0,0,0,0,0,0,0,0,0,19,0,0,0,18,0,0,27,0,0,0,0,0,0,0,57,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,20,0,0,0,0,24,0,15,0,0,0,46,0,15,0,0,0,30,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,17,0,0,21,0,0,0,0,40,0,0,0,45,16,41,22,0,38,18,0,0,0,0,0,0,0,0,0,0,0,16,20,0,24,0,0,20,19,21
Echelon Prime,+2.36%,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,57,0,0,0,0,58,0,0,0,44,23,0,0,0,0,0,13,0,0,0,0,16,0,0,0,0,0,0,0,84,0,0,23,0,16,0,0,0,0,29,0,0,13,0,0,0,0,0,0,0,0,0,0,48,39,0,0,0,0,0,0,30,11,0,0,0,0,0,0,0,14,0,0,21,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,15,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,39,28,15,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17,0,0,20,37,0,0,0,0,0,0,0,46,0,45,0,36,0,0,20,0,0,0,0,0,0,0,0,0,0,51,0,22,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,18,0
Bluzelle,+2.35%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,27,0,0,23,0,0,15,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,30,0,21,0,19,0,0,0,0,0,0,0,0,17,0,0,0,0,0,58,34,45,0,0,17,0,0,0,41,0,20,12,0,0,47,0,39,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,0,82,0,0,0,35,0,0,0,0,0,0,0,17,17,28,0,66,0,0,0,14,17,0,0,0,0,0,0,15,17,0,12,24,0,0,0,0,0,0,16,0,0,0,76,0,0,18,0,0,17,0,20,0,0,0,0,0,23,0,50,14,0,0,0,0,0,16,13,18,0,0,0,0,27,0,18,0,0,0,0,0,0,0,25,0,40,18,39,0,0,59,0,0,31,0,15,21,0,0,0,0,0,0,0,0,0,16,0,0,0
TrueFi,+2.34%,0,0,0,0,0,0,0,0,17,0,0,0,0,22,0,13,0,0,0,0,0,0,0,16,0,0,0,17,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,14,23,14,0,0,12,0,0,0,0,0,0,20,0,14,0,50,0,29,21,0,0,44,0,0,0,25,0,0,0,0,16,0,0,0,0,19,0,0,23,0,0,0,24,0,19,0,0,28,0,0,20,35,29,37,0,0,0,0,0,0,0,0,0,0,0,0,30,62,0,0,0,0,0,0,0,0,0,0,0,0,15,18,49,0,24,0,0,0,0,22,28,0,19,18,0,0,0,14,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,29,0,0,25,0,0,0,23,35,0,0,0,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,35,0,0,23,51,0,0,0,41,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,28,0,14,0
SOLVE,+2.32%,0,0,0,31,0,0,0,41,0,0,0,32,0,26,0,0,0,15,0,0,20,0,0,30,0,50,0,18,0,0,0,0,14,49,0,0,0,0,0,17,0,0,20,0,0,22,19,0,72,0,0,0,0,44,60,32,0,21,13,16,0,16,0,0,19,0,0,0,0,0,0,13,14,0,12,14,14,0,50,0,0,0,0,0,0,17,0,0,0,21,0,18,0,16,23,0,35,0,14,45,32,0,21,0,0,0,14,0,17,14,0,0,0,0,18,0,23,0,0,0,0,0,0,13,16,0,35,0,0,0,15,0,0,83,14,0,0,0,0,0,0,0,0,0,17,0,22,24,20,0,0,0,0,26,0,0,47,0,0,0,0,0,0,0,0,17,0,0,0,22,14,0,0,41,48,0,43,0,0,0,0,17,0,18,28,17,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,15,0,0,0,18,0,0,0,21,0,17,15,0,0,0,0,58,0,0,13,0,0,0,0,0,0,0,0,0,0,0,32,0,15,0,0,0,0,0,0,0,0,0
Nano,+2.30%,25,50,44,59,54,95,19,50,29,63,70,0,39,76,46,56,21,25,43,71,58,0,41,53,100,42,33,74,23,15,46,59,93,42,40,47,24,21,45,31,0,63,23,42,42,0,35,46,40,47,60,30,22,16,38,25,50,52,14,61,33,56,28,59,31,35,50,18,56,44,84,0,77,33,32,36,21,57,33,56,30,35,15,73,41,55,38,34,26,50,56,46,52,29,35,34,68,22,22,40,21,51,61,62,75,15,41,45,95,48,0,31,45,44,19,50,24,34,31,46,30,67,27,51,41,46,0,50,57,0,27,22,36,31,19,49,78,0,53,92,18,32,16,50,16,20,15,45,15,0,0,0,19,26,34,25,29,76,33,81,99,0,36,0,47,0,35,38,23,90,32,17,40,22,18,32,38,53,37,36,0,75,44,28,40,28,27,38,61,44,0,0,36,79,53,37,100,0,29,65,59,28,19,45,0,23,28,20,22,70,0,37,45,56,0,0,83,50,0,27,62,42,0,78,38,17,43,44,38,23,51,53,0,40,20,32,17,24,25,45,0,48,16,55,0,26,14,43,28
