,block_date,volumes
0,2023-08-11,33096.736021477
1,2023-09-03,293794.66536796
2,2023-09-04,155029.558690284
3,2023-08-22,21377.87817686
4,2023-08-23,18942.502697032
5,2023-08-25,11269.05656624
6,2023-08-13,7402.029041637
7,2023-08-10,45197.479552972
8,2023-08-17,51858.416701788
9,2023-09-08,74964.034346357
10,2023-09-09,4836.960027245
11,2023-08-15,18067.93052542
12,2023-08-14,39117.575039426
13,2023-09-10,22456.777675984
14,2023-09-02,69155.866044598
15,2023-08-24,1170.723331582
16,2023-08-18,70882.858812105
17,2023-08-26,19507.3170752
18,2023-08-21,27597.285180433
19,2023-08-19,21787.459881088
20,2023-09-07,12850.207735271
21,2023-09-01,19754.440719062
22,2023-08-28,11311.189040327
23,2023-08-29,51239.201656779
24,2023-08-12,19185.389733326
25,2023-09-05,82135.797241938
26,2023-08-30,78767.141203854
27,2023-08-20,28208.920625131
28,2023-08-31,60546.711593249
29,2023-09-06,71643.257855824
30,2023-08-16,70775.410892129
31,2023-08-27,1687.5804621
