,block_date,n_new_recipient
0,2023-08-11,5
1,2023-08-22,23
2,2023-08-29,18
3,2023-09-09,17
4,2023-09-08,13
5,2023-08-12,7
6,2023-08-19,15
7,2023-09-07,16
8,2023-09-05,137
9,2023-08-18,12
10,2023-08-21,11
11,2023-09-01,12
12,2023-08-28,19
13,2023-08-20,3
14,2023-08-16,46
15,2023-08-27,24
16,2023-08-13,15
17,2023-09-03,15
18,2023-08-24,19
19,2023-09-02,8
20,2023-08-23,16
21,2023-08-25,20
22,2023-08-15,30
23,2023-09-06,100
24,2023-08-31,16
25,2023-08-10,46
26,2023-08-17,25
27,2023-08-26,11
28,2023-08-30,16
29,2023-08-14,38
30,2023-09-10,7
31,2023-09-04,7
