,block_date,volumes
0,2023-09-08,1522446.42339599
1,2023-09-09,151767.056899967
2,2023-08-11,72935.218619209
3,2023-08-29,2209310.30281595
4,2023-08-18,162582.469219178
5,2023-08-14,628011.533604091
6,2023-09-10,877231.824654128
7,2023-08-26,260504.35650628
8,2023-08-22,974018.283480539
9,2023-09-07,589579.845289797
10,2023-08-19,1138662.58798822
11,2023-08-21,476520.652750034
12,2023-09-03,1862745.63801137
13,2023-08-13,997330.261083385
14,2023-08-24,1202188.6166988
15,2023-09-02,143366.841081456
16,2023-08-20,355060.011459663
17,2023-08-28,1186389.34581019
18,2023-09-01,683383.486851919
19,2023-08-12,4599572.79778363
20,2023-09-05,1840909.81153695
21,2023-08-15,1586503.0044611
22,2023-08-10,240948.171960771
23,2023-08-17,17486288.3636803
24,2023-08-30,971899.391549011
25,2023-09-04,227179.422146785
26,2023-09-06,855801.515563977
27,2023-08-31,2267287.18919348
28,2023-08-23,1500146.08945405
29,2023-08-25,473205.899551375
30,2023-08-16,1449964.49773905
31,2023-08-27,582790.806185127
