,block_date,n_new_recipient
0,2023-08-11,20
1,2023-08-22,12
2,2023-08-18,18
3,2023-08-12,37
4,2023-09-08,16
5,2023-09-09,19
6,2023-09-05,23
7,2023-08-13,9
8,2023-09-06,17
9,2023-08-31,15
10,2023-09-03,69
11,2023-08-16,8
12,2023-08-27,10
13,2023-08-30,14
14,2023-08-26,11
15,2023-08-15,16
16,2023-08-28,10
17,2023-09-01,16
18,2023-08-29,25
19,2023-09-07,15
20,2023-08-19,19
21,2023-09-10,6
22,2023-08-14,10
23,2023-08-21,15
24,2023-08-20,19
25,2023-09-02,27
26,2023-08-24,10
27,2023-08-23,8
28,2023-08-25,7
29,2023-08-10,27
30,2023-08-17,18
31,2023-09-04,28
