,block_date,value
0,2023-08-11,82.401403021
1,2023-08-22,1515.988855949
2,2023-08-15,77.6445
3,2023-09-10,66053.518692131
4,2023-08-14,36.367902432
5,2023-09-02,334585.855092367
6,2023-08-24,1403.782415901
7,2023-09-08,7794.828995662
8,2023-09-09,4873.7471159
9,2023-09-03,133650.046193423
10,2023-08-18,226.068198759
11,2023-08-21,1081.48
12,2023-08-26,480.389924291
13,2023-08-28,9326.695406511
14,2023-09-01,6757.585411907
15,2023-08-25,9692.763841938
16,2023-08-23,116.072667513
17,2023-09-07,10581.979852117
18,2023-09-04,248.257366655
19,2023-08-10,1517.54382808
20,2023-08-16,5846.096840814
21,2023-08-27,4254.023590094
22,2023-08-30,1290.857574246
23,2023-09-05,16163.429547519
24,2023-09-06,3367.303530189
25,2023-08-31,2622.646051916
