name,total,rank,token
TOMI,0.126,0,TOMI
MIR,0.326,100,MIR
OpenANX,0.006,35.0,OpenANX
DREP,0.1056817380630086,5.0,DREP
Nest Protocol,0.1483,1.0,NEST
Burger Swap,0.1258331117101925,2.0,BURGER
FTX Token,0.1216694864923791,3.0,FTT
AGI Token,0.1112,4.0,AGI
TENET,0.1040503679325546,6.0,TENET
Energy Web Token,0.0956273488766245,7.0,EWT
Crypton,0.0950329505843163,8.0,CRP
Bonfida,0.0896537786341478,9.0,FIDA
Polkastarter,0.0831972188296325,10.0,POLS
Akropolis,0.0807790990043194,11.0,AKRO
Verge,0.0791430517739429,12.0,XVG
Turbo,0.0686727971665262,13.0,TURBO
DEAPCoin,0.0646130242823403,14.0,DEP
Flamingo,0.0548071797116685,15.0,FLM
Firo,0.0474083475103635,16.0,FIRO
Everipedia,0.0284081405168475,17.0,IQ
Dawn Protocol,0.0239,18.0,DAWN
Refereum,0.019,19.0,RFR
Ispolink,0.0183352996180655,20.0,ISP
BeNFT AI,0.0143,21.0,BEAI
Sperax,0.0138683238355719,22.0,SPA
XEN Crypto,0.0127142827105135,23.0,XEN
Crust Network,0.0118999999999999,24.0,CRU
Machine Xchange Coin,0.0115,25.0,MXC
Ooki Protocol,0.0097,26.0,OOKI
e-RADIX,0.0097,27.0,EXRD
Bitget Token,0.0089,28.0,BGB
StreamCoin,0.0077,29.0,STRM
Dvision Network,0.0068,30.0,DVI
Wing Finance,0.0068,31.0,WING
Tokenlon,0.0067,32.0,LON
Crypto One Stop Solution,0.0064,33.0,COS
Unifi Protocol DAO,0.0063,34.0,UNFI
vEmpire DDAO,0.0056999999999999,36.0,VEMP
SingularityDAO,0.0048,37.0,SDAO
Creditcoin,0.0045,38.0,CTC
BakeryToken,0.0044,39.0,BAKE
LBR,0.0044,40.0,LBR
Unibot,0.0043708263867085,41.0,UNIBOT
Lovely Inu,0.004,42.0,LOVELY
SwftCoin,0.0037,43.0,SWFTC
Bone ShibaSwap,0.0034,44.0,BONE
VIDT DAO,0.0031,45.0,VIDT
Rally,-0.0224820079806061,46.0,RLY
Flux,-0.0455100943825444,48.0,FLUX
Echelon Prime,-0.0504618056258076,49.0,PRIME
Bitgert,-0.091822062712745,50.0,BRISE
